ORGANIZATION_CODE,PERSON_NUMBER,DATE_FROM,DATE_TO,DURATION
2,asdasd,11-16-2017,11-16-2017,0.5
2,1aaa1,11-17-2017,11-17-2017,1
2,1aa11,11-17-2017,11-17-2017,0.5
2,1aa11,11-20-2017,11-20-2017,0.5
2,1aa1a,11-20-2017,11-20-2017,0.5
2,1aa11,11-20-2017,11-20-2017,1
2,1aa1a,10-26-2017,10-26-2017,1
2,1aa1a,11-15-2017,11-15-2017,1
2,1aa1a,11-16-2017,11-16-2017,1
2,1aa88,11-17-2017,11-17-2017,0.5
2,1aa8a,10-30-2017,10-30-2017,1
2,1aa8a,11-06-2017,11-06-2017,1
2,1aa8a,11-07-2017,11-07-2017,1
2,1aa91,11-10-2017,11-10-2017,1
2,1aa91,11-01-2017,11-01-2017,0.5
2,MMX12,10-20-2017,10-20-2017,0.5
2,MMX12,10-30-2017,10-30-2017,2
2,1aa91,11-16-2017,11-16-2017,0.5
2,1aaa8,11-20-2017,11-20-2017,1
2,1aaaa,10-23-2017,10-23-2017,1
2,1a1a1,11-10-2017,11-10-2017,1
2,1a1a9,10-23-2017,10-23-2017,1
2,1a1a9,10-24-2017,10-24-2017,1
2,1a1a9,10-25-2017,10-25-2017,1
2,1a1a9,10-26-2017,10-26-2017,1
2,1a1a9,10-27-2017,10-27-2017,1
2,1a1a9,10-30-2017,10-30-2017,1
2,1a1a9,10-31-2017,10-31-2017,1
2,1a1a9,11-01-2017,11-01-2017,1
2,1a1a9,11-02-2017,11-02-2017,1
2,1a1a9,11-03-2017,11-03-2017,1
2,1a1a9,11-06-2017,11-06-2017,1
2,1a118,11-03-2017,11-03-2017,0.5
2,1a119,10-25-2017,10-25-2017,0.5
2,1a111,10-23-2017,10-23-2017,1
2,1a111,10-24-2017,10-24-2017,1
2,1a111,10-25-2017,10-25-2017,1
2,1a11a,10-30-2017,10-30-2017,1
2,1a11a,11-06-2017,11-06-2017,1
2,1a11a,11-07-2017,11-07-2017,1
2,1a11a,11-20-2017,11-20-2017,1
2,1a11a,10-25-2017,10-25-2017,1
2,1a11a,10-26-2017,10-26-2017,1
2,1a11a,10-27-2017,10-27-2017,1
2,1a111,11-09-2017,11-09-2017,0.5
2,1a111,10-30-2017,10-30-2017,1
2,1a111,10-31-2017,10-31-2017,1
2,1a111,11-01-2017,11-01-2017,1
2,1a111,11-10-2017,11-10-2017,1
2,1a119,11-01-2017,11-01-2017,1
2,1a119,11-02-2017,11-02-2017,1
2,1a119,11-09-2017,11-09-2017,1
2,1a119,11-16-2017,11-16-2017,1
2,1a181,11-07-2017,11-07-2017,1
2,1a181,11-10-2017,11-10-2017,1
2,1a181,11-13-2017,11-13-2017,1
2,1a189,10-24-2017,10-24-2017,1
2,1a189,10-25-2017,10-25-2017,1
2,1a189,10-26-2017,10-26-2017,1
2,1a189,10-27-2017,10-27-2017,1
2,1a1a1,10-24-2017,10-24-2017,1
2,1a1a1,10-25-2017,10-25-2017,1
2,1a1a1,10-26-2017,10-26-2017,1
2,1a1a1,10-27-2017,10-27-2017,1
2,1a1a1,10-30-2017,10-30-2017,1
2,1a1a1,10-31-2017,10-31-2017,1
2,1a1a1,11-01-2017,11-01-2017,1
2,1a1a1,11-02-2017,11-02-2017,1
2,1a1a1,11-03-2017,11-03-2017,1
2,1a1a1,11-06-2017,11-06-2017,1
2,1a1a1,11-07-2017,11-07-2017,1
2,1a1a1,11-08-2017,11-08-2017,1
2,1a1a1,11-09-2017,11-09-2017,1
2,1a1a1,11-10-2017,11-10-2017,1
2,1a1a1,11-13-2017,11-13-2017,1
2,1a1a1,11-14-2017,11-14-2017,1
2,1a1a1,11-15-2017,11-15-2017,1
2,1a1a1,11-16-2017,11-16-2017,1
2,1a1a1,11-17-2017,11-17-2017,1
2,1a1a1,11-20-2017,11-20-2017,1
2,1a1a1,10-23-2017,10-23-2017,1
2,1a1a1,10-24-2017,10-24-2017,1
2,1a1aa,10-31-2017,10-31-2017,1
2,1a118,10-25-2017,10-25-2017,1
2,1a118,10-26-2017,10-26-2017,1
2,1a111,11-20-2017,11-20-2017,1
2,1a111,10-23-2017,10-23-2017,1
2,1a111,10-24-2017,10-24-2017,1
2,1a111,10-23-2017,10-23-2017,1
2,1a111,10-24-2017,10-24-2017,1
2,1a111,10-25-2017,10-25-2017,1
2,1a111,10-26-2017,10-26-2017,1
2,1a111,10-27-2017,10-27-2017,1
2,1a111,10-30-2017,10-30-2017,1
2,1a111,10-31-2017,10-31-2017,1
2,1a111,11-01-2017,11-01-2017,1
2,1a111,11-02-2017,11-02-2017,1
2,1a111,11-03-2017,11-03-2017,1
2,1a111,11-06-2017,11-06-2017,1
2,1a111,11-07-2017,11-07-2017,1
2,1a111,11-08-2017,11-08-2017,1
2,1a111,11-09-2017,11-09-2017,1
2,1a111,11-10-2017,11-10-2017,1
2,1a111,11-13-2017,11-13-2017,1
2,1a111,11-14-2017,11-14-2017,1
2,1a111,11-15-2017,11-15-2017,1
2,1a111,11-16-2017,11-16-2017,1
2,1a111,11-17-2017,11-17-2017,1
2,1a111,11-20-2017,11-20-2017,1
2,1a111,10-25-2017,10-25-2017,0.5
2,1a111,11-07-2017,11-07-2017,0.5
2,1a111,10-23-2017,10-23-2017,1
2,1a111,10-26-2017,10-26-2017,1
2,1a111,11-03-2017,11-03-2017,0.5
2,1a118,10-30-2017,10-30-2017,1
2,1a118,11-13-2017,11-13-2017,1
2,1a189,10-30-2017,10-30-2017,1
2,1a189,11-10-2017,11-10-2017,0.5
2,1a189,11-13-2017,11-13-2017,0.5
2,1a189,11-14-2017,11-14-2017,1
2,1a189,11-15-2017,11-15-2017,0.5
2,1a189,11-20-2017,11-20-2017,0.5
2,1a191,10-23-2017,10-23-2017,1
2,1a191,10-26-2017,10-26-2017,1
2,1a191,10-27-2017,10-27-2017,1
2,1a199,11-09-2017,11-09-2017,0.5
2,1a1a1,10-31-2017,10-31-2017,1
2,1a1a1,11-03-2017,11-03-2017,0.5
2,1a1a1,11-09-2017,11-09-2017,0.5
2,1a1a1,11-13-2017,11-13-2017,0.5
2,1a1a1,11-17-2017,11-17-2017,1
2,1a1a1,10-23-2017,10-23-2017,1
2,1a1a1,10-24-2017,10-24-2017,1
2,1a1a1,10-25-2017,10-25-2017,1
2,1a1a1,10-26-2017,10-26-2017,1
2,1a1a1,10-27-2017,10-27-2017,1
2,1a1a1,11-06-2017,11-06-2017,0.5
2,1a1a8,10-23-2017,10-23-2017,1
2,1a1a8,10-24-2017,10-24-2017,1
2,1a1a8,10-25-2017,10-25-2017,1
2,1a1a8,10-26-2017,10-26-2017,1
2,1a1a8,10-27-2017,10-27-2017,1
2,1a1a8,11-20-2017,11-20-2017,1
2,1a1aa,10-26-2017,10-26-2017,1
2,1a1aa,11-20-2017,11-20-2017,1
2,1a11a,10-24-2017,10-24-2017,1
2,1a11a,10-27-2017,10-27-2017,1
2,1a11a,11-03-2017,11-03-2017,0.5
2,1a111,11-10-2017,11-10-2017,1
2,1a111,11-13-2017,11-13-2017,1
2,1a111,11-14-2017,11-14-2017,1
2,1a111,11-15-2017,11-15-2017,1
2,1a111,11-16-2017,11-16-2017,1
2,1a111,11-17-2017,11-17-2017,1
2,1a111,11-20-2017,11-20-2017,0.5
2,1a11a,11-06-2017,11-06-2017,1
2,1a111,11-03-2017,11-03-2017,1
2,1a118,11-06-2017,11-06-2017,1
2,1a118,11-07-2017,11-07-2017,1
2,1a118,11-08-2017,11-08-2017,1
2,1a118,11-09-2017,11-09-2017,1
2,1a118,11-10-2017,11-10-2017,1
2,1a11a,11-02-2017,11-02-2017,1
2,1a111,11-06-2017,11-06-2017,0.5
2,1a111,11-02-2017,11-02-2017,0.5
2,1a111,11-06-2017,11-06-2017,0.5
2,1a111,11-20-2017,11-20-2017,1
2,1a111,11-01-2017,11-01-2017,1
2,1a111,11-02-2017,11-02-2017,1
2,1a111,11-03-2017,11-03-2017,1
2,1a111,11-06-2017,11-06-2017,1
2,1a181,11-08-2017,11-08-2017,0.5
2,1a19a,11-06-2017,11-06-2017,1
2,1a191,11-10-2017,11-10-2017,0.5
2,1a191,11-13-2017,11-13-2017,1
2,1a191,11-14-2017,11-14-2017,1
2,1a191,11-15-2017,11-15-2017,1
2,1a191,11-16-2017,11-16-2017,1
2,1a191,11-17-2017,11-17-2017,1
2,1a199,11-14-2017,11-14-2017,1
2,1a1aa,11-02-2017,11-02-2017,1
2,1a1aa,11-03-2017,11-03-2017,1
2,1a1aa,11-06-2017,11-06-2017,1
2,1a1aa,11-13-2017,11-13-2017,0.5
2,1a1aa,11-14-2017,11-14-2017,1
2,1a1aa,11-15-2017,11-15-2017,1
2,1a1aa,11-16-2017,11-16-2017,1
2,1a1aa,11-17-2017,11-17-2017,1
2,1a1aa,11-20-2017,11-20-2017,1
2,1a111,11-15-2017,11-15-2017,1
2,1a111,11-16-2017,11-16-2017,1
2,1a111,11-17-2017,11-17-2017,1
2,1a111,11-18-2017,11-18-2017,1
2,1a111,11-19-2017,11-19-2017,1
2,1a111,11-20-2017,11-20-2017,1
2,1a111,11-20-2017,11-20-2017,1
2,1a111,11-16-2017,11-16-2017,1
2,1a11a,11-20-2017,11-20-2017,1
2,G1918,11-06-2017,11-06-2017,1
2,G1918,11-07-2017,11-07-2017,1
2,G1918,11-08-2017,11-08-2017,1
2,G19a1,10-23-2017,10-23-2017,1
2,G19a1,10-24-2017,10-24-2017,1
2,G19a1,10-25-2017,10-25-2017,1
2,G19a1,10-26-2017,10-26-2017,1
2,M1119,11-14-2017,11-14-2017,1
2,M119a,11-07-2017,11-07-2017,0.5
2,M111a,11-06-2017,11-06-2017,0.5
2,M111a,11-07-2017,11-07-2017,1
2,M111a,11-08-2017,11-08-2017,1
2,M11a1,11-20-2017,11-20-2017,1
2,M11aa,10-30-2017,10-30-2017,0.5
2,M11aa,11-02-2017,11-02-2017,1
2,M11aa,11-08-2017,11-08-2017,0.5
2,M11aa,11-13-2017,11-13-2017,1
2,M11aa,11-14-2017,11-14-2017,1
2,M11aa,11-15-2017,11-15-2017,1
2,M11aa,11-16-2017,11-16-2017,1
2,M1188,11-13-2017,11-13-2017,0.5
2,M1188,11-16-2017,11-16-2017,0.5
2,M1911,11-03-2017,11-03-2017,0.5
2,M1918,11-20-2017,11-20-2017,1
2,M1a81,11-17-2017,11-17-2017,0.5
2,M1a11,11-10-2017,11-10-2017,0.5
2,M1a11,11-13-2017,11-13-2017,0.5
2,M1a11,11-14-2017,11-14-2017,0.5
2,M1111,11-16-2017,11-16-2017,1
2,M1198,11-03-2017,11-03-2017,1
2,M11a1,10-24-2017,10-24-2017,0.5
2,M11a1,11-14-2017,11-14-2017,0.5
2,M11a1,11-16-2017,11-16-2017,0.5
2,M11aa,10-26-2017,10-26-2017,0.5
2,M1111,10-24-2017,10-24-2017,1
2,M111a,10-23-2017,10-23-2017,0.5
2,M111a,10-26-2017,10-26-2017,0.5
2,M1111,11-06-2017,11-06-2017,1
2,M1111,11-07-2017,11-07-2017,1
2,M1111,11-08-2017,11-08-2017,1
